股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6224,聚鼎,20250602,125493,5991932,48.50,48.55,47.05,47.25,-1.90,244
6224,聚鼎,20250603,173188,8141556,47.55,48.15,46.30,46.30,-0.95,414
6224,聚鼎,20250604,152126,7332384,46.70,49.30,46.65,48.90,+2.60,164
6224,聚鼎,20250605,203282,10117207,49.05,50.30,48.90,49.80,+0.90,195
6224,聚鼎,20250606,118972,5890466,49.60,50.20,49.20,49.20,-0.60,143
6224,聚鼎,20250609,102080,5026438,48.70,50.10,48.50,49.90,+0.70,129
6224,聚鼎,20250610,171686,8629864,50.00,51.00,49.50,49.50,-0.40,176
6224,聚鼎,20250611,128594,6354441,49.90,49.95,49.05,49.05,-0.45,209
6224,聚鼎,20250612,162447,8030226,49.05,50.20,48.20,50.00,+0.95,174
6224,聚鼎,20250613,142434,7033173,49.55,50.00,48.75,48.95,-1.05,282
6224,聚鼎,20250616,175839,8379678,48.15,48.45,47.00,47.70,-1.25,275
6224,聚鼎,20250617,157452,7409883,47.70,47.80,46.65,46.65,-1.05,276
6224,聚鼎,20250618,76858,3594267,46.65,47.00,46.40,46.80,+0.15,77
6224,聚鼎,20250619,142416,6463349,45.90,46.00,45.10,45.15,-1.65,166
6224,聚鼎,20250620,131607,5858080,45.15,45.20,43.90,44.60,-0.55,132
