股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6243,迅杰,20250602,88069,3281295,37.00,38.00,36.90,37.25,-0.90,192
6243,迅杰,20250603,56474,2095258,36.75,37.85,36.75,37.00,-0.25,106
6243,迅杰,20250604,122507,4647702,37.00,38.35,37.00,38.00,+1.00,154
6243,迅杰,20250605,388164,15390859,38.40,40.50,38.40,39.65,+1.65,450
6243,迅杰,20250606,1169906,47224689,39.60,41.10,39.50,39.50,-0.15,"1,329"
6243,迅杰,20250609,131815,5142722,39.75,39.75,38.65,38.80,-0.70,160
6243,迅杰,20250610,215390,8447683,38.90,39.55,38.50,39.55,+0.75,161
6243,迅杰,20250611,126700,4969714,39.55,39.70,38.90,39.10,-0.45,136
6243,迅杰,20250612,1493035,60405923,39.50,41.75,38.95,38.95,-0.15,"1,111"
6243,迅杰,20250613,476077,18405035,38.60,39.80,37.75,37.75,-1.20,440
6243,迅杰,20250616,64060,2431319,37.75,38.30,37.45,38.00,+0.25,79
6243,迅杰,20250617,143235,5492885,38.00,39.05,37.80,37.80,-0.20,144
6243,迅杰,20250618,379450,14851943,38.45,39.65,38.05,39.40,+1.60,358
6243,迅杰,20250619,163196,6268646,39.00,39.15,38.10,38.10,-1.30,203
6243,迅杰,20250620,156643,5857639,39.05,39.05,36.70,37.40,-0.70,173
