股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6412,群電,20250602,3411817,431941961,125.50,129.00,125.50,126.00,-1.50,"2,731"
6412,群電,20250603,3186215,398220741,126.00,128.00,122.50,125.00,-1.00,"3,143"
6412,群電,20250604,3744452,472804791,126.00,127.50,124.50,127.00,+2.00,"3,652"
6412,群電,20250605,3762835,478089551,127.50,131.00,125.50,125.50,-1.50,"2,961"
6412,群電,20250606,4210917,531767987,126.50,129.00,124.50,125.00,-0.50,"2,884"
6412,群電,20250609,3740051,462848514,127.00,127.00,121.00,122.50,-2.50,"5,914"
6412,群電,20250610,4639236,546579521,116.50,121.50,114.50,114.50,X0.00,"5,444"
6412,群電,20250611,4001199,475774830,115.00,121.00,114.50,121.00,+6.50,"3,500"
6412,群電,20250612,3229881,394080815,121.00,124.00,118.50,120.50,-0.50,"2,829"
6412,群電,20250613,1693249,196969466,120.00,120.50,115.00,115.00,-5.50,"1,645"
6412,群電,20250616,1697131,190202324,114.00,114.00,110.50,113.00,-2.00,"5,330"
6412,群電,20250617,4053945,489706945,114.00,124.00,113.00,124.00,+11.00,"4,309"
6412,群電,20250618,3189634,387699510,124.00,124.00,118.50,122.50,-1.50,"4,260"
6412,群電,20250619,2303283,273166390,122.50,122.50,117.50,118.00,-4.50,"5,975"
6412,群電,20250620,4693736,515753647,118.00,118.00,108.50,108.50,-9.50,"3,700"
