股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6416,瑞祺電通,20250602,260546,24230747,94.60,94.60,92.20,94.10,-0.60,307
6416,瑞祺電通,20250603,167649,15789940,94.40,95.00,93.70,94.20,+0.10,164
6416,瑞祺電通,20250604,373691,36118013,95.50,97.40,95.20,97.30,+3.10,381
6416,瑞祺電通,20250605,154386,15046357,97.60,98.20,96.70,97.10,-0.20,"1,051"
6416,瑞祺電通,20250606,539695,50551628,95.00,95.00,92.80,94.20,-2.90,602
6416,瑞祺電通,20250609,333945,31068899,94.30,94.30,92.20,93.40,-0.80,305
6416,瑞祺電通,20250610,129100,12184146,94.00,94.80,93.60,94.80,+1.40,172
6416,瑞祺電通,20250611,102505,9734334,95.80,95.80,94.50,95.50,+0.70,149
6416,瑞祺電通,20250612,134504,12766294,95.00,95.70,94.30,95.00,-0.50,202
6416,瑞祺電通,20250613,390557,36180713,94.30,94.40,91.50,93.20,-1.80,438
6416,瑞祺電通,20250616,130168,12209795,92.60,94.70,92.40,94.70,+1.50,149
6416,瑞祺電通,20250617,79730,7529076,95.50,95.50,93.70,93.90,-0.80,108
6416,瑞祺電通,20250618,73439,6920734,94.00,95.00,94.00,94.00,+0.10,87
6416,瑞祺電通,20250619,183718,17043251,93.50,93.70,92.20,92.70,-1.30,174
6416,瑞祺電通,20250620,184688,16862490,92.20,93.00,90.40,91.10,-1.60,196
