股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6504,南六,20250602,274354,16677597,60.70,62.50,59.10,59.10,-1.00,273
6504,南六,20250603,199313,12037401,59.10,62.00,58.30,60.20,+1.10,141
6504,南六,20250604,100545,6103557,61.60,61.70,59.30,60.40,+0.20,97
6504,南六,20250605,105076,6433995,60.40,62.30,60.40,60.50,+0.10,97
6504,南六,20250606,38143,2327686,60.50,62.00,60.50,61.00,+0.50,39
6504,南六,20250609,83345,5047433,61.50,61.50,59.60,60.10,-0.90,71
6504,南六,20250610,68041,4120752,60.50,61.50,59.70,59.80,-0.30,61
6504,南六,20250611,86764,5209032,59.00,60.90,59.00,59.50,-0.30,152
6504,南六,20250612,49174,2949677,60.90,60.90,59.00,60.00,+0.50,42
6504,南六,20250613,146712,8547510,59.50,60.40,57.10,58.50,-1.50,173
6504,南六,20250616,37016,2184844,59.40,59.40,58.30,59.20,+0.70,35
6504,南六,20250617,60037,3581201,59.80,60.20,58.90,59.70,+0.50,58
6504,南六,20250618,54191,3213607,60.30,60.30,58.50,59.60,-0.10,78
6504,南六,20250619,65340,3805138,59.00,59.30,57.20,58.20,-1.40,69
6504,南六,20250620,124000,7453900,59.10,60.80,57.60,60.80,+2.60,67
