股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6578,達邦蛋白,20250602,78000,1339000,17.15,17.20,17.00,17.20,0.00,62
6578,達邦蛋白,20250603,77000,1329000,17.30,17.35,17.20,17.20,0.00,55
6578,達邦蛋白,20250604,73000,1264000,17.35,17.40,17.25,17.40,0.20,52
6578,達邦蛋白,20250605,72000,1269000,17.40,17.65,17.40,17.65,0.25,54
6578,達邦蛋白,20250606,94000,1670000,17.65,17.90,17.65,17.85,0.20,68
6578,達邦蛋白,20250609,91000,1620000,18.00,18.05,17.85,17.85,0.00,65
6578,達邦蛋白,20250610,55000,991000,17.95,18.05,17.90,18.00,0.15,45
6578,達邦蛋白,20250611,317000,5489000,17.75,17.75,17.20,17.35,-0.65,195
6578,達邦蛋白,20250612,155000,2694000,17.35,17.50,17.35,17.50,0.15,64
6578,達邦蛋白,20250613,143000,2517000,17.60,17.70,17.55,17.60,0.10,65
6578,達邦蛋白,20250616,89000,1579000,17.75,17.80,17.55,17.80,0.20,54
6578,達邦蛋白,20250617,102000,1828000,17.80,18.30,17.80,17.95,0.15,70
6578,達邦蛋白,20250618,44000,787000,18.00,18.15,18.00,18.10,0.15,37
6578,達邦蛋白,20250619,188000,3383000,18.10,18.10,17.95,17.95,-0.15,80
6578,達邦蛋白,20250620,84000,1516000,17.95,18.10,17.95,18.05,0.10,44
