股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6606,建德工業,20250602,52406,1324000,25.75,25.75,25.00,25.20,-0.60,59
6606,建德工業,20250603,114465,2853973,25.00,25.15,24.85,25.05,-0.15,130
6606,建德工業,20250604,72879,1828953,24.85,25.95,24.85,25.45,+0.40,73
6606,建德工業,20250605,68596,1750084,25.95,25.95,25.40,25.45, 0.00,31
6606,建德工業,20250606,38014,964405,25.45,25.70,25.00,25.50,+0.05,31
6606,建德工業,20250609,86923,2173605,25.15,25.25,24.85,25.10,-0.40,119
6606,建德工業,20250610,32399,813090,25.50,25.50,24.90,25.05,-0.05,35
6606,建德工業,20250611,28076,703015,25.05,25.25,24.95,25.10,+0.05,18
6606,建德工業,20250612,62215,1554233,25.00,25.10,24.90,25.00,-0.10,44
6606,建德工業,20250613,33621,836820,24.85,25.30,24.75,24.90,-0.10,71
6606,建德工業,20250616,14045,349371,24.85,24.90,24.85,24.90, 0.00,15
6606,建德工業,20250617,49100,1221884,24.95,25.00,24.80,24.85,-0.05,35
6606,建德工業,20250618,40776,1010478,24.85,24.90,24.60,24.75,-0.10,36
6606,建德工業,20250619,48128,1194266,24.80,25.00,24.70,24.75, 0.00,74
6606,建德工業,20250620,86015,2134117,25.00,25.00,24.60,24.60,-0.15,40
