股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6625,必應,20250602,294578,25489593,88.00,88.00,85.40,87.50,-0.50,757
6625,必應,20250603,254132,22310664,87.50,89.00,86.70,87.00,-0.50,850
6625,必應,20250604,184309,16019657,88.10,88.10,86.30,86.50,-0.50,686
6625,必應,20250605,116611,10123168,86.60,87.40,86.20,86.50, 0.00,264
6625,必應,20250606,353046,30968560,85.90,88.70,85.90,87.50,+1.00,417
6625,必應,20250609,954667,86158457,88.90,92.00,88.70,88.80,+1.30,"1,420"
6625,必應,20250610,673770,60086483,89.10,91.80,87.20,88.20,-0.60,"4,813"
6625,必應,20250611,2145753,196815487,92.50,94.50,89.30,91.40,+3.20,"3,529"
6625,必應,20250612,650359,58078543,91.50,92.00,88.00,88.10,-3.30,"4,579"
6625,必應,20250613,245300,21493810,88.10,88.10,86.80,88.10, 0.00,893
6625,必應,20250616,3275406,308131779,87.50,96.40,87.50,94.30,+6.20,"5,733"
6625,必應,20250617,1199653,112498997,95.20,95.80,91.80,93.20,-1.10,"3,449"
6625,必應,20250618,907015,83876730,94.90,95.00,91.10,91.70,-1.50,"5,158"
6625,必應,20250619,723261,64823835,87.60,90.90,87.60,89.60,X0.00,"1,431"
6625,必應,20250620,639406,57409017,90.90,92.00,87.70,90.70,+1.10,"2,758"
