股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6641,基士德-KY,20250602,12008,278782,23.60,23.60,22.80,22.80,-0.80,13
6641,基士德-KY,20250603,10081,232012,22.50,23.35,22.50,22.65,-0.15,17
6641,基士德-KY,20250604,8220,186516,22.60,23.00,22.50,22.75,+0.10,12
6641,基士德-KY,20250605,13285,296226,22.30,22.35,22.20,22.20,-0.55,19
6641,基士德-KY,20250606,10002,227594,22.40,23.00,22.40,23.00,+0.80,11
6641,基士德-KY,20250609,14491,322613,22.35,22.35,22.20,22.20,-0.80,22
6641,基士德-KY,20250610,24300,539189,22.60,22.60,22.00,22.45,+0.25,22
6641,基士德-KY,20250611,2001,44924,22.45,22.45,22.45,22.45, 0.00,3
6641,基士德-KY,20250612,3001,67572,22.10,23.00,22.10,23.00,+0.55,4
6641,基士德-KY,20250613,12000,273800,22.75,22.95,22.50,22.50,-0.50,12
6641,基士德-KY,20250616,10000,229550,22.90,23.00,22.90,23.00,+0.50,10
6641,基士德-KY,20250617,8000,180650,22.75,22.75,22.40,22.45,-0.55,7
6641,基士德-KY,20250618,5000,110300,22.05,22.20,22.00,22.20,-0.25,5
6641,基士德-KY,20250619,15401,339078,22.10,22.30,21.60,21.75,-0.45,22
6641,基士德-KY,20250620,8002,171792,21.35,21.75,21.35,21.75, 0.00,9
