股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6655,科定,20250602,6059,758404,128.00,128.00,123.50,125.50,+0.50,9
6655,科定,20250603,8060,1011530,127.00,127.00,124.50,124.50,-1.00,12
6655,科定,20250604,1000,126500,126.50,126.50,126.50,126.50,+2.00,1
6655,科定,20250605,3013,377134,125.50,125.50,125.00,125.00,-1.50,5
6655,科定,20250606,3001,375630,126.50,126.50,124.50,124.50,-0.50,4
6655,科定,20250609,3451,435178,128.50,128.50,125.00,125.00,+0.50,13
6655,科定,20250610,6209,784139,125.50,127.00,125.50,126.50,+1.50,10
6655,科定,20250611,8576,1063892,124.00,125.50,123.50,125.50,-1.00,19
6655,科定,20250612,60864,7462822,127.50,127.50,120.00,122.00,-3.50,74
6655,科定,20250613,9104,1112701,122.00,124.00,122.00,122.00, 0.00,13
6655,科定,20250616,55657,6655968,121.00,123.50,117.50,123.50,+1.50,90
6655,科定,20250617,11409,1382363,121.00,122.00,121.00,122.00,-1.50,108
6655,科定,20250618,8003,975860,119.50,123.00,119.50,123.00,+1.00,9
6655,科定,20250619,18004,2209992,123.50,123.50,121.00,122.50,-0.50,21
6655,科定,20250620,3000,366500,122.50,122.50,122.00,122.00,-0.50,3
