股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6658,聯策,20250602,1048430,82868303,81.20,81.20,78.30,79.10,-1.90,871
6658,聯策,20250603,4935973,401808182,80.00,83.20,78.30,81.00,+1.90,"3,726"
6658,聯策,20250604,6745251,559710875,82.40,85.00,81.30,81.80,+0.80,"5,209"
6658,聯策,20250605,2299083,187312391,82.10,83.20,79.80,79.80,-2.00,"2,161"
6658,聯策,20250606,1733844,134891537,79.50,80.40,76.00,77.00,-2.80,"1,641"
6658,聯策,20250609,933112,72386474,77.40,78.50,76.70,77.90,+0.90,812
6658,聯策,20250610,6980446,594986664,83.00,85.60,82.70,85.60,+7.70,"3,831"
6658,聯策,20250611,20203235,1793014583,85.10,92.00,85.10,87.80,+2.20,"14,425"
6658,聯策,20250612,9640264,862428583,88.00,92.00,87.30,88.70,+0.90,"6,853"
6658,聯策,20250613,6320393,562092350,88.00,91.50,85.60,87.90,-0.80,"5,423"
6658,聯策,20250616,3901726,335497524,87.90,88.30,84.40,84.70,-3.20,"3,997"
6658,聯策,20250617,4168037,359243767,86.00,88.30,83.70,85.20,+0.50,"3,235"
6658,聯策,20250618,5475348,477015306,85.30,88.50,84.20,87.50,+2.30,"3,520"
6658,聯策,20250619,4820504,422061876,88.00,88.70,86.30,86.60,-0.90,"3,592"
6658,聯策,20250620,6947509,601164633,86.60,88.80,83.70,86.30,-0.30,"4,748"
