股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6671,三能-KY,20250602,8086,330526,40.65,40.90,40.65,40.90,-0.40,11
6671,三能-KY,20250603,15011,612102,41.00,41.00,40.70,40.75,-0.15,12
6671,三能-KY,20250604,203101,8277992,41.50,41.50,40.75,40.75, 0.00,7
6671,三能-KY,20250605,58,2365,--,--,--,--, 0.00,3
6671,三能-KY,20250606,6152,255723,40.85,41.70,40.85,41.70,X0.00,8
6671,三能-KY,20250609,2083,86727,41.60,41.60,41.60,41.60,-0.10,3
6671,三能-KY,20250610,3000,126100,42.10,42.10,42.00,42.00,+0.40,3
6671,三能-KY,20250611,2050,85130,42.00,42.00,41.05,41.05,-0.95,3
6671,三能-KY,20250612,1004,41614,41.45,41.45,41.45,41.45,+0.40,5
6671,三能-KY,20250613,1024,42546,41.55,41.55,41.55,41.55,+0.10,2
6671,三能-KY,20250616,3010,127421,42.35,42.35,42.30,42.30,+0.75,7
6671,三能-KY,20250617,7138,298185,42.30,42.30,41.40,41.60,-0.70,14
6671,三能-KY,20250618,27319,1119851,40.65,41.85,40.65,40.90,-0.70,47
6671,三能-KY,20250619,33161,1354445,40.90,41.10,40.70,40.85,-0.05,32
6671,三能-KY,20250620,33000,1326850,40.85,40.90,40.00,40.10,-0.75,24
