股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6763,綠界科技*,20250602,254000,13337000,53.60,53.60,52.20,52.40,-1.20,400
6763,綠界科技*,20250603,259000,13601000,52.80,53.20,52.00,52.30,-0.10,274
6763,綠界科技*,20250604,299000,15865000,52.50,53.40,52.50,53.00,0.70,287
6763,綠界科技*,20250605,227000,12058000,53.10,54.00,52.60,52.60,-0.40,412
6763,綠界科技*,20250606,212000,11188000,53.00,53.40,52.30,52.80,0.20,255
6763,綠界科技*,20250609,169000,8910000,53.00,53.50,52.50,52.50,-0.30,367
6763,綠界科技*,20250610,228000,12099000,52.80,53.50,52.80,52.90,0.40,260
6763,綠界科技*,20250611,315000,16774000,53.40,53.70,52.70,53.50,0.60,346
6763,綠界科技*,20250612,299000,16153000,53.50,54.50,53.10,54.30,0.80,302
6763,綠界科技*,20250613,395000,20854000,53.60,53.60,52.20,52.20,-2.10,998
6763,綠界科技*,20250616,318000,16357000,52.10,52.10,51.00,51.50,-0.70,374
6763,綠界科技*,20250617,472000,25016000,51.90,54.00,51.90,53.20,1.70,502
6763,綠界科技*,20250618,1341000,76898000,53.50,58.50,53.50,58.50,5.30,"1,226"
6763,綠界科技*,20250619,10712000,659052000,61.30,64.10,59.20,60.70,2.20,"8,440"
6763,綠界科技*,20250620,3893000,226734000,61.00,61.20,56.40,58.40,-2.30,"3,160"
