股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6794,向榮生技-創,20250602,14000,877700,64.00,64.00,62.20,62.20,-1.70,12
6794,向榮生技-創,20250603,19000,1197000,63.50,63.50,62.20,63.10,+0.90,17
6794,向榮生技-創,20250604,5000,314800,63.60,63.60,62.50,63.10, 0.00,5
6794,向榮生技-創,20250605,7010,443194,63.60,63.60,62.80,63.40,+0.30,8
6794,向榮生技-創,20250606,6030,386820,64.90,64.90,64.00,64.00,+0.60,7
6794,向榮生技-創,20250609,6005,381219,64.70,64.70,62.80,63.80,-0.20,7
6794,向榮生技-創,20250610,46001,2915262,64.50,64.70,62.80,63.20,-0.60,38
6794,向榮生技-創,20250611,3000,189700,63.40,63.40,63.00,63.30,+0.10,3
6794,向榮生技-創,20250612,6000,379200,63.90,63.90,62.80,63.30, 0.00,6
6794,向榮生技-創,20250613,4010,254635,63.60,63.60,63.20,63.60,+0.30,5
6794,向榮生技-創,20250616,18001,1131363,63.70,63.70,62.50,63.40,-0.20,19
6794,向榮生技-創,20250617,17000,1067100,63.40,63.40,62.20,63.40, 0.00,13
6794,向榮生技-創,20250618,14000,876500,63.80,63.80,62.10,63.20,-0.20,11
6794,向榮生技-創,20250619,11000,687400,63.20,63.20,62.10,62.60,-0.60,11
6794,向榮生技-創,20250620,6000,379300,63.60,63.60,62.30,63.30,+0.70,6
