股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6914,阜爾運通,20250602,78606,10572723,138.00,138.00,133.00,133.00,-4.00,150
6914,阜爾運通,20250603,29199,3880792,134.50,134.50,132.00,132.00,-1.00,74
6914,阜爾運通,20250604,40670,5398681,133.00,133.50,132.00,132.50,+0.50,70
6914,阜爾運通,20250605,74823,9958621,133.00,134.50,131.50,133.00,+0.50,117
6914,阜爾運通,20250606,19670,2610614,133.50,133.50,132.00,132.50,-0.50,34
6914,阜爾運通,20250609,10012,1322479,132.00,132.50,131.50,132.00,-0.50,33
6914,阜爾運通,20250610,154804,20845756,133.50,136.00,132.00,136.00,+4.00,185
6914,阜爾運通,20250611,74150,10083882,138.50,139.00,134.50,136.50,+0.50,110
6914,阜爾運通,20250612,30230,4125071,137.50,137.50,136.00,137.50,+1.00,74
6914,阜爾運通,20250613,177783,24831435,137.00,142.00,137.00,140.00,+2.50,260
6914,阜爾運通,20250616,143452,20330560,140.50,143.50,140.00,143.00,+3.00,202
6914,阜爾運通,20250617,75289,10764441,144.00,144.00,142.00,143.00, 0.00,108
6914,阜爾運通,20250618,197764,28810944,143.00,147.00,142.50,145.50,+2.50,267
6914,阜爾運通,20250619,85704,12343782,146.00,146.00,143.00,144.50,-1.00,145
6914,阜爾運通,20250620,89991,13022196,144.00,146.50,143.00,146.50,+2.00,125
