股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6916,華凌,20250602,297240,6244984,21.90,21.90,20.75,20.90,-1.20,214
6916,華凌,20250603,321230,6753691,20.90,21.50,20.70,20.80,-0.10,211
6916,華凌,20250604,329660,7082445,20.85,22.00,20.85,21.15,+0.35,275
6916,華凌,20250605,154312,3308211,21.25,22.05,21.20,21.25,+0.10,115
6916,華凌,20250606,132653,2830771,21.20,21.70,20.80,21.70,+0.45,103
6916,華凌,20250609,204387,4397379,21.70,21.95,21.20,21.80,+0.10,152
6916,華凌,20250610,179600,3884041,21.80,22.00,21.25,21.35,-0.45,154
6916,華凌,20250611,231858,4839798,21.35,21.40,20.55,21.10,-0.25,171
6916,華凌,20250612,124330,2606539,21.10,21.30,20.70,20.95,-0.15,94
6916,華凌,20250613,257719,5420912,21.20,21.60,20.60,20.95, 0.00,182
6916,華凌,20250616,186489,3836813,20.95,21.05,20.25,20.30,-0.65,138
6916,華凌,20250617,426090,9355218,20.50,22.30,20.50,22.30,+2.00,254
6916,華凌,20250618,1297188,28881226,22.80,23.00,21.55,22.50,+0.20,854
6916,華凌,20250619,331027,7152592,22.65,22.65,21.20,21.20,-1.30,239
6916,華凌,20250620,295948,6071687,21.30,21.40,20.20,20.40,-0.80,231
