股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6928,攸泰科技,20250602,109128,5387425,48.60,50.00,48.60,49.50,+0.90,100
6928,攸泰科技,20250603,72680,3514281,50.00,50.00,47.15,48.35,-1.15,103
6928,攸泰科技,20250604,65069,3210238,48.65,49.90,48.65,49.20,+0.85,71
6928,攸泰科技,20250605,97623,4911519,49.95,51.60,49.20,49.25,+0.05,173
6928,攸泰科技,20250606,49175,2424384,49.65,49.85,48.60,49.60,+0.35,43
6928,攸泰科技,20250609,57166,2817650,50.50,50.50,48.85,49.50,-0.10,48
6928,攸泰科技,20250610,68776,3332825,47.90,48.95,47.90,48.50,-1.00,88
6928,攸泰科技,20250611,56918,2732212,48.90,48.90,47.55,47.60,-0.90,184
6928,攸泰科技,20250612,40787,1938569,47.70,47.90,47.10,47.50,-0.10,71
6928,攸泰科技,20250613,78320,3685560,47.40,47.90,46.50,46.65,-0.85,82
6928,攸泰科技,20250616,59855,2751922,46.65,46.80,45.60,46.70,+0.05,73
6928,攸泰科技,20250617,67000,3082750,47.10,47.10,45.80,46.30,-0.40,52
6928,攸泰科技,20250618,84572,3890882,46.25,46.50,45.25,46.30, 0.00,76
6928,攸泰科技,20250619,74793,3379566,45.50,46.30,44.85,45.00,-1.30,127
6928,攸泰科技,20250620,73799,3202176,43.50,44.10,42.85,43.50,-1.50,99
