股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
7736,虎山,20250602,26068,2724196,106.50,106.50,104.00,104.50,-2.50,25
7736,虎山,20250603,18036,1898845,104.50,106.50,104.50,105.00,+0.50,20
7736,虎山,20250604,326062,34556570,106.50,106.50,104.50,105.00, 0.00,33
7736,虎山,20250605,365328,38897370,104.00,107.00,104.00,106.50,+1.50,72
7736,虎山,20250606,43013,4535858,104.50,107.00,104.00,106.50, 0.00,36
7736,虎山,20250609,58005,6179540,105.00,109.00,105.00,106.50, 0.00,47
7736,虎山,20250610,55289,5873425,106.50,107.00,106.00,106.50, 0.00,44
7736,虎山,20250611,53293,5610312,107.50,107.50,104.50,105.00,-1.50,37
7736,虎山,20250612,19082,2006637,106.50,106.50,104.50,105.00, 0.00,22
7736,虎山,20250613,22580,2349390,104.00,104.50,103.50,104.00,-1.00,45
7736,虎山,20250616,41857,4311862,104.00,104.50,102.50,104.00, 0.00,46
7736,虎山,20250617,59136,6146304,105.00,105.00,101.50,104.00, 0.00,99
7736,虎山,20250618,37126,3851998,104.00,104.00,102.50,103.00,-1.00,24
7736,虎山,20250619,22332,2284116,104.00,104.00,101.00,102.00,-1.00,70
7736,虎山,20250620,53016,5406132,104.00,104.00,101.00,103.50,+1.50,39
