股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
8016,矽創,20250602,608359,128836241,215.00,217.00,210.00,210.00,-7.50,"2,505"
8016,矽創,20250603,708666,153195487,212.50,217.50,212.50,217.50,+7.50,"1,161"
8016,矽創,20250604,522609,113748946,219.00,220.00,216.50,217.00,-0.50,"1,186"
8016,矽創,20250605,290044,62866765,216.50,218.00,216.00,216.00,-1.00,934
8016,矽創,20250606,325912,69782673,216.00,216.50,213.00,213.50,-2.50,"3,011"
8016,矽創,20250609,433659,92151865,215.00,216.50,210.00,213.00,-0.50,"4,583"
8016,矽創,20250610,541945,116401473,215.00,216.00,213.00,216.00,+3.00,"1,432"
8016,矽創,20250611,805693,173521313,216.00,216.50,213.00,216.50,+0.50,"2,175"
8016,矽創,20250612,1280774,271109834,215.50,215.50,210.00,210.00,-6.50,"8,872"
8016,矽創,20250613,1186825,249798600,210.00,212.00,207.50,211.50,+1.50,"1,173"
8016,矽創,20250616,1351488,275440728,199.50,203.50,197.50,202.50,X0.00,762
8016,矽創,20250617,694767,142225208,203.50,207.50,202.50,204.00,+1.50,787
8016,矽創,20250618,301007,60824014,204.00,204.00,201.00,201.00,-3.00,"2,617"
8016,矽創,20250619,504876,99717252,201.00,201.00,195.50,195.50,-5.50,"15,761"
8016,矽創,20250620,490841,95175703,195.50,197.00,192.50,193.50,-2.00,"7,916"
