股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
8033,雷虎,20250602,5932479,352424581,57.80,60.60,57.40,59.90,+2.30,"4,367"
8033,雷虎,20250603,1633678,96143908,59.30,59.50,58.50,58.50,-1.40,"1,590"
8033,雷虎,20250604,1858098,110854929,59.90,60.00,59.10,60.00,+1.50,"1,278"
8033,雷虎,20250605,1247831,74303072,60.00,60.10,59.20,59.30,-0.70,901
8033,雷虎,20250606,3756114,228216469,60.00,62.00,59.80,60.00,+0.70,"2,775"
8033,雷虎,20250609,3712633,228182590,60.20,62.60,60.00,61.90,+1.90,"2,716"
8033,雷虎,20250610,1834936,113698037,62.60,62.60,61.40,62.00,+0.10,"1,566"
8033,雷虎,20250611,1767021,109276793,62.30,62.60,61.10,61.40,-0.60,"1,460"
8033,雷虎,20250612,1714767,103969353,61.40,61.60,60.30,60.40,-1.00,"1,390"
8033,雷虎,20250613,10160552,638015249,64.10,64.90,61.30,61.30,+0.90,"6,772"
8033,雷虎,20250616,12079055,766395322,62.40,64.70,62.40,63.10,+1.80,"7,895"
8033,雷虎,20250617,3321267,207637771,62.10,63.30,61.90,62.80,-0.30,"2,796"
8033,雷虎,20250618,2729624,171854267,63.30,63.80,62.40,62.50,-0.30,"1,871"
8033,雷虎,20250619,20853859,1376092365,62.10,68.20,62.00,66.00,+3.50,"13,920"
8033,雷虎,20250620,17769496,1145128363,67.00,67.20,62.70,62.80,-3.20,"16,149"
