股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
8443,阿瘦,20250602,60823,730307,12.00,12.05,12.00,12.05,+0.05,86
8443,阿瘦,20250603,88164,1059088,12.00,12.05,12.00,12.00,-0.05,85
8443,阿瘦,20250604,56309,677877,12.10,12.10,12.00,12.10,+0.10,87
8443,阿瘦,20250605,80714,986898,12.35,12.35,12.10,12.15,+0.05,111
8443,阿瘦,20250606,75755,909263,12.15,12.15,11.95,11.95,-0.20,96
8443,阿瘦,20250609,150347,1845899,12.10,12.50,12.00,12.15,+0.20,154
8443,阿瘦,20250610,36044,436193,12.05,12.20,12.00,12.20,+0.05,97
8443,阿瘦,20250611,36663,447076,12.30,12.30,12.15,12.20, 0.00,81
8443,阿瘦,20250612,34410,419656,12.15,12.25,12.15,12.20, 0.00,62
8443,阿瘦,20250613,37820,460274,12.20,12.25,12.10,12.20, 0.00,78
8443,阿瘦,20250616,79708,962555,12.20,12.20,12.00,12.10,-0.10,96
8443,阿瘦,20250617,25873,312714,12.10,12.15,12.05,12.15,+0.05,84
8443,阿瘦,20250618,83189,1000725,12.15,12.20,11.90,12.20,+0.05,116
8443,阿瘦,20250619,49486,594535,12.10,12.20,11.95,12.20, 0.00,64
8443,阿瘦,20250620,18839,228825,12.10,12.20,12.05,12.20, 0.00,63
