股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
8938,明安,20250602,403000,26400000,67.30,67.30,65.00,65.30,-1.60,357
8938,明安,20250603,198000,13034000,65.50,66.00,65.30,65.60,0.30,156
8938,明安,20250604,225000,14860000,66.10,66.40,65.70,66.00,0.40,199
8938,明安,20250605,201000,13233000,66.40,66.40,65.60,65.80,-0.20,189
8938,明安,20250606,189000,12413000,65.60,65.80,65.40,65.40,-0.40,170
8938,明安,20250609,145000,9443000,65.70,65.70,65.00,65.30,-0.10,145
8938,明安,20250610,174000,11377000,65.20,65.70,65.10,65.30,0.00,139
8938,明安,20250611,171000,11157000,65.20,65.50,65.00,65.20,-0.10,157
8938,明安,20250612,172000,11186000,65.10,65.20,64.90,65.00,-0.20,169
8938,明安,20250613,304000,19551000,64.90,64.90,64.00,64.00,-1.00,311
8938,明安,20250616,181000,11564000,64.00,64.20,63.30,63.80,-0.20,187
8938,明安,20250617,130000,8304000,64.20,64.40,63.80,63.80,0.00,130
8938,明安,20250618,218000,14139000,63.80,65.30,63.80,65.00,1.20,202
8938,明安,20250619,105000,6791000,65.10,65.10,64.30,64.80,-0.20,110
8938,明安,20250620,139000,8922000,64.80,64.80,64.00,64.00,-0.80,150
