股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
9927,泰銘,20250602,218881,14983675,69.10,69.10,68.00,68.40,-1.00,264
9927,泰銘,20250603,72820,4979390,68.70,68.90,68.20,68.30,-0.10,121
9927,泰銘,20250604,100230,6915724,68.80,69.40,68.70,68.80,+0.50,134
9927,泰銘,20250605,51477,3548227,68.80,69.20,68.70,68.70,-0.10,80
9927,泰銘,20250606,75787,5232654,68.80,69.20,68.80,69.00,+0.30,109
9927,泰銘,20250609,45342,3127250,69.40,69.40,68.80,69.00, 0.00,71
9927,泰銘,20250610,107429,7430847,68.90,69.40,68.90,69.00, 0.00,118
9927,泰銘,20250611,67135,4654971,69.10,69.70,69.00,69.40,+0.40,92
9927,泰銘,20250612,170838,11947650,69.70,70.30,69.60,70.10,+0.70,151
9927,泰銘,20250613,81855,5695685,69.40,70.00,69.40,69.40,-0.70,118
9927,泰銘,20250616,108036,7509398,69.10,70.00,69.10,69.50,+0.10,108
9927,泰銘,20250617,75615,5257249,69.60,70.00,69.40,69.50, 0.00,116
9927,泰銘,20250618,98701,6897750,69.50,70.20,69.50,69.90,+0.40,116
9927,泰銘,20250619,81853,5699353,69.50,70.00,69.40,69.90, 0.00,126
9927,泰銘,20250620,99682,6884056,69.80,69.80,68.60,68.90,-1.00,122
