股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
9938,百和,20250602,1782668,100055654,57.50,57.50,55.60,55.80,-2.40,"1,281"
9938,百和,20250603,741621,41577150,56.80,56.80,55.70,56.00,+0.20,630
9938,百和,20250604,752889,42725591,56.30,57.20,56.30,56.60,+0.60,602
9938,百和,20250605,858201,48044743,56.50,56.50,55.50,55.80,-0.80,"1,045"
9938,百和,20250606,4522932,240006286,55.00,55.00,51.90,51.90,-3.90,"3,353"
9938,百和,20250609,2101100,111632440,53.00,53.60,52.60,53.20,+1.30,"1,523"
9938,百和,20250610,1334341,70869776,53.40,53.60,52.50,53.40,+0.20,"1,224"
9938,百和,20250611,3170328,168179514,53.10,53.70,52.40,53.40, 0.00,"1,968"
9938,百和,20250612,1309224,70440124,53.40,54.20,53.10,54.00,+0.60,956
9938,百和,20250613,2640321,138723228,53.50,53.60,51.90,52.10,-1.90,"1,959"
9938,百和,20250616,1197453,63823322,52.10,53.90,51.90,53.70,+1.60,911
9938,百和,20250617,1568474,83611319,53.70,54.10,52.90,53.70, 0.00,"1,099"
9938,百和,20250618,1679152,91439905,53.50,55.10,53.50,54.20,+0.50,"1,314"
9938,百和,20250619,665242,35802557,54.20,54.60,53.50,53.80,-0.40,493
9938,百和,20250620,1817889,96801652,53.90,54.00,52.80,53.20,-0.60,707
