股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3521,鴻翊,20250602,1494000,20314000,13.55,14.00,13.25,13.60,0.00,111
3521,鴻翊,20250603,131000,1791000,13.60,13.90,13.45,13.80,0.20,95
3521,鴻翊,20250604,62000,850000,14.05,14.05,13.70,13.70,-0.10,82
3521,鴻翊,20250605,50000,684000,13.70,13.80,13.50,13.65,-0.05,58
3521,鴻翊,20250606,70000,953000,13.65,13.75,13.50,13.70,0.05,64
3521,鴻翊,20250609,138000,1802000,13.55,13.60,12.70,12.80,-0.90,146
3521,鴻翊,20250610,73000,917000,12.90,13.00,12.25,12.40,-0.40,79
3521,鴻翊,20250611,69000,840000,12.40,12.40,12.00,12.25,-0.15,84
3521,鴻翊,20250612,31000,379000,12.10,12.25,12.10,12.20,-0.05,38
3521,鴻翊,20250613,136000,1636000,12.20,12.20,11.90,12.00,-0.20,64
3521,鴻翊,20250616,38000,456000,12.00,12.25,12.00,12.25,0.25,66
3521,鴻翊,20250617,64000,770000,12.20,12.25,11.80,11.80,-0.45,64
3521,鴻翊,20250618,87000,1033000,12.05,12.05,11.70,11.80,0.00,64
3521,鴻翊,20250619,87000,1021000,11.95,11.95,11.40,11.85,0.05,89
3521,鴻翊,20250620,23000,273000,11.80,11.85,11.70,11.85,0.00,34
