股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4304,勝昱,20250602,12000,129000,10.75,10.75,10.70,10.75,0.00,11
4304,勝昱,20250603,8000,85000,10.65,10.65,10.65,10.65,-0.10,1
4304,勝昱,20250604,0,0,--,--,--,--,0.00,0
4304,勝昱,20250605,0,5000,--,--,--,--,0.00,2
4304,勝昱,20250606,1000,10000,--,--,--,--,0.00,2
4304,勝昱,20250609,18000,194000,10.70,11.00,10.70,11.00,0.70,12
4304,勝昱,20250610,49000,539000,11.00,11.25,10.50,10.50,-0.50,16
4304,勝昱,20250611,21000,218000,10.50,10.50,10.00,10.00,-0.50,10
4304,勝昱,20250612,46000,483000,10.50,10.50,10.50,10.50,0.50,15
4304,勝昱,20250613,64000,672000,10.70,10.70,10.20,10.50,0.00,22
4304,勝昱,20250616,36000,378000,10.50,10.50,10.50,10.50,0.00,7
4304,勝昱,20250617,37000,385000,10.50,10.50,10.35,10.35,-0.15,11
4304,勝昱,20250618,33000,341000,10.35,10.35,10.30,10.30,-0.05,15
4304,勝昱,20250619,53000,538000,10.30,10.30,10.00,10.00,-0.30,12
4304,勝昱,20250620,11000,110000,10.00,10.00,10.00,10.00,0.00,1
