股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4406,新昕纖,20250602,0,0,--,--,--,--,0.00,0
4406,新昕纖,20250603,9000,90000,9.81,10.05,9.81,10.00,0.18,7
4406,新昕纖,20250604,11000,107000,9.77,9.77,9.77,9.77,-0.23,6
4406,新昕纖,20250605,19000,190000,9.88,10.25,9.87,9.98,0.21,16
4406,新昕纖,20250606,12000,122000,10.20,10.25,9.98,9.98,0.00,8
4406,新昕纖,20250609,46000,454000,9.81,9.98,9.74,9.94,-0.04,20
4406,新昕纖,20250610,4000,42000,9.99,10.00,9.99,10.00,0.06,6
4406,新昕纖,20250611,14000,137000,9.56,9.89,9.56,9.86,-0.14,11
4406,新昕纖,20250612,0,0,--,--,--,--,0.00,1
4406,新昕纖,20250613,15000,145000,9.82,9.82,9.56,9.56,-0.30,11
4406,新昕纖,20250616,3000,29000,9.60,9.73,9.60,9.73,0.17,2
4406,新昕纖,20250617,9000,89000,9.85,9.94,9.82,9.93,0.20,4
4406,新昕纖,20250618,5000,53000,9.73,9.73,9.70,9.70,-0.23,5
4406,新昕纖,20250619,2000,19000,9.70,9.70,9.70,9.70,0.00,2
4406,新昕纖,20250620,22000,218000,9.67,10.15,9.67,9.99,0.29,18
