股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4442,竣邦-KY,20250602,58000,2653000,46.20,46.90,44.10,46.20,0.10,43
4442,竣邦-KY,20250603,2000,92000,45.20,45.90,45.20,45.90,-0.30,4
4442,竣邦-KY,20250604,22000,1028000,46.80,47.05,45.65,47.05,1.15,19
4442,竣邦-KY,20250605,26000,1242000,48.00,48.00,46.30,46.50,-0.55,25
4442,竣邦-KY,20250606,23000,1072000,46.50,46.50,46.10,46.30,-0.20,23
4442,竣邦-KY,20250609,14000,642000,46.25,46.25,45.10,46.10,-0.20,17
4442,竣邦-KY,20250610,105000,4600000,43.05,44.95,43.00,44.00,-2.10,85
4442,竣邦-KY,20250611,149000,6462000,43.50,44.75,43.05,44.65,0.65,79
4442,竣邦-KY,20250612,40000,1724000,44.65,44.65,43.05,43.90,-0.75,40
4442,竣邦-KY,20250613,10000,434000,43.45,43.50,43.30,43.50,-0.40,10
4442,竣邦-KY,20250616,7000,303000,42.60,42.80,42.60,42.75,-0.75,8
4442,竣邦-KY,20250617,4000,190000,42.85,42.85,42.80,42.80,0.05,9
4442,竣邦-KY,20250618,10000,452000,42.80,43.50,42.80,43.40,0.60,11
4442,竣邦-KY,20250619,4000,172000,43.00,43.05,42.95,42.95,-0.45,4
4442,竣邦-KY,20250620,1000,42000,42.35,42.35,42.35,42.35,-0.60,1
