股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6955,邦睿生技-創,20250602,14100,2668350,188.00,192.50,187.00,189.00,+1.00,12
6955,邦睿生技-創,20250603,8016,1511610,188.00,192.50,187.00,188.00,-1.00,12
6955,邦睿生技-創,20250604,2010,376974,187.50,187.50,187.50,187.50,-0.50,5
6955,邦睿生技-創,20250605,6000,1122000,188.00,188.00,185.00,188.00,+0.50,6
6955,邦睿生技-創,20250606,8001,1508187,187.00,190.50,186.50,190.50,+2.50,6
6955,邦睿生技-創,20250609,10302,1973529,191.50,192.50,191.00,191.50,+1.00,14
6955,邦睿生技-創,20250610,4028,771390,191.50,192.00,191.00,191.00,-0.50,6
6955,邦睿生技-創,20250611,10047,1889761,189.00,189.00,185.00,185.00,-6.00,25
6955,邦睿生技-創,20250612,11150,2081587,186.00,187.50,185.00,187.50,+2.50,13
6955,邦睿生技-創,20250613,15050,2825350,187.00,189.00,187.00,189.00,+1.50,13
6955,邦睿生技-創,20250616,16054,3053759,188.50,191.50,188.50,191.00,+2.00,16
6955,邦睿生技-創,20250617,9000,1702000,188.00,190.50,187.50,190.50,-0.50,7
6955,邦睿生技-創,20250618,10026,1900942,188.00,191.00,188.00,191.00,+0.50,12
6955,邦睿生技-創,20250619,2010,376434,187.00,187.50,187.00,187.50,-3.50,4
6955,邦睿生技-創,20250620,19015,3602275,188.00,191.00,188.00,191.00,+3.50,14
